Predictions (y,pred,y-pred) by the model of dimension:     1
    0.9570000000E+03    0.9581310802E+03   -0.1131080244E+01
    0.4490000000E+03    0.4509294208E+03   -0.1929420806E+01
    0.5350000000E+03    0.5310567907E+03    0.3943209335E+01
    0.5880000000E+03    0.5671874839E+03    0.2081251609E+02
    0.4110000000E+03    0.3912366186E+03    0.1976338140E+02
    0.5500000000E+03    0.5906877182E+03   -0.4068771820E+02
    0.4380000000E+03    0.4034879182E+03    0.3451208184E+02
    0.3950000000E+03    0.4280528488E+03   -0.3305284877E+02
    0.4510000000E+03    0.4695082652E+03   -0.1850826518E+02
    0.5040000000E+03    0.5107242241E+03   -0.6724224058E+01
    0.4770000000E+03    0.4904454679E+03   -0.1344546790E+02
    0.5220000000E+03    0.5560654701E+03   -0.3406547008E+02
    0.5500000000E+03    0.5335233257E+03    0.1647667425E+02
    0.5620000000E+03    0.5747758513E+03   -0.1277585134E+02
    0.5630000000E+03    0.5508893880E+03    0.1211061202E+02
    0.3250000000E+03    0.3563448242E+03   -0.3134482419E+02
    0.6150000000E+03    0.5950130476E+03    0.1998695240E+02
    0.4190000000E+03    0.4107035921E+03    0.8296407874E+01
    0.4910000000E+03    0.4927074356E+03   -0.1707435571E+01
    0.5000000000E+03    0.5355970673E+03   -0.3559706734E+02
    0.4110000000E+03    0.4089056795E+03    0.2094320491E+01
    0.5260000000E+03    0.5689826519E+03   -0.4298265191E+02
    0.3850000000E+03    0.4117552562E+03   -0.2675525623E+02
    0.3850000000E+03    0.3626989411E+03    0.2230105889E+02
    0.1086000000E+04    0.1015015040E+04    0.7098496002E+02
    0.4900000000E+03    0.4663433170E+03    0.2365668302E+02
    0.5700000000E+03    0.5688510517E+03    0.1148948336E+01
    0.1002000000E+04    0.9424891959E+03    0.5951080410E+02
    0.5500000000E+03    0.5329743238E+03    0.1702567623E+02
    0.2450000000E+03    0.2031660074E+03    0.4183399262E+02
    0.4960000000E+03    0.5050809739E+03   -0.9080973878E+01
    0.3620000000E+03    0.3471195580E+03    0.1488044202E+02
    0.5630000000E+03    0.5746185087E+03   -0.1161850875E+02
    0.5430000000E+03    0.5511220586E+03   -0.8122058595E+01
    0.4630000000E+03    0.5013460522E+03   -0.3834605221E+02
    0.8760000000E+03    0.9616223033E+03   -0.8562230335E+02
    0.3650000000E+03    0.3659921554E+03   -0.9921553833E+00
    0.5820000000E+03    0.5954122701E+03   -0.1341227013E+02
    0.4190000000E+03    0.4480276455E+03   -0.2902764555E+02
    0.5230000000E+03    0.5010553687E+03    0.2194463126E+02
    0.5020000000E+03    0.4749700939E+03    0.2702990613E+02
    0.3880000000E+03    0.3878978497E+03    0.1021503121E+00
    0.4540000000E+03    0.4310983038E+03    0.2290169619E+02
    0.5100000000E+03    0.4827010526E+03    0.2729894743E+02
    0.4690000000E+03    0.5020737301E+03   -0.3307373012E+02
    0.5760000000E+03    0.5410713724E+03    0.3492862765E+02
    0.4370000000E+03    0.4221702594E+03    0.1482974059E+02
    0.4830000000E+03    0.4564150859E+03    0.2658491415E+02
    0.9860000000E+03    0.9577219955E+03    0.2827800451E+02
    0.3630000000E+03    0.3943117488E+03   -0.3131174884E+02
    0.6350000000E+03    0.6032153253E+03    0.3178467468E+02
    0.4900000000E+03    0.5246427229E+03   -0.3464272294E+02
    0.4040000000E+03    0.4023876065E+03    0.1612393494E+01
    0.5490000000E+03    0.5838611710E+03   -0.3486117101E+02
    0.7810000000E+03    0.8179022920E+03   -0.3690229202E+02
    0.5350000000E+03    0.5598787583E+03   -0.2487875827E+02
    0.5020000000E+03    0.5174274703E+03   -0.1542747030E+02
    0.4960000000E+03    0.5133891003E+03   -0.1738910034E+02
    0.3650000000E+03    0.3915808595E+03   -0.2658085952E+02
    0.4150000000E+03    0.4454055522E+03   -0.3040555225E+02
    0.5170000000E+03    0.5094352288E+03    0.7564771235E+01
    0.4120000000E+03    0.4156638941E+03   -0.3663894146E+01
    0.5650000000E+03    0.5498352323E+03    0.1516476773E+02
    0.5850000000E+03    0.5652564720E+03    0.1974352798E+02
    0.5370000000E+03    0.5370813970E+03   -0.8139701481E-01
    0.4800000000E+03    0.4986070435E+03   -0.1860704354E+02
    0.4950000000E+03    0.5031628485E+03   -0.8162848484E+01
    0.5310000000E+03    0.5278060327E+03    0.3193967347E+01
    0.4450000000E+03    0.4471997335E+03   -0.2199733542E+01
    0.5920000000E+03    0.5404368200E+03    0.5156318000E+02
    0.5830000000E+03    0.5380253805E+03    0.4497461951E+02
    0.4180000000E+03    0.4125503939E+03    0.5449606092E+01
    0.4790000000E+03    0.5075157575E+03   -0.2851575754E+02
    0.6250000000E+03    0.5923435472E+03    0.3265645280E+02
    0.4570000000E+03    0.4643836454E+03   -0.7383645426E+01
    0.5830000000E+03    0.5414304786E+03    0.4156952137E+02
    0.4110000000E+03    0.4074025536E+03    0.3597446371E+01
Prediction RMSE and MaxAE:        29.6119335857      113.4320856877
